,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
68,Ansiedades,0.834,0.517,2,-8.115,0,0.0786,0.243,0.000232,0.127,0.284,119.968,audio_features,4GhaiN8g3mwCcbfDLGoYqy,spotify:track:4GhaiN8g3mwCcbfDLGoYqy,https://api.spotify.com/v1/tracks/4GhaiN8g3mwCcbfDLGoYqy,https://api.spotify.com/v1/audio-analysis/4GhaiN8g3mwCcbfDLGoYqy,174067,4
69,STAR WALKIN' (League of Legends Worlds Anthem),0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,audio_features,38T0tPVZHcPZyhtOcCP7pF,spotify:track:38T0tPVZHcPZyhtOcCP7pF,https://api.spotify.com/v1/tracks/38T0tPVZHcPZyhtOcCP7pF,https://api.spotify.com/v1/audio-analysis/38T0tPVZHcPZyhtOcCP7pF,210576,4
70,Then It All Goes Away,0.683,0.817,2,-3.061,1,0.0332,0.0184,2.32e-05,0.0807,0.964,140.019,audio_features,7MzjD4Ayl07w0TRsYSqfCh,spotify:track:7MzjD4Ayl07w0TRsYSqfCh,https://api.spotify.com/v1/tracks/7MzjD4Ayl07w0TRsYSqfCh,https://api.spotify.com/v1/audio-analysis/7MzjD4Ayl07w0TRsYSqfCh,183440,4
71,Drive By,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,audio_features,0KAiuUOrLTIkzkpfpn9jb9,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/tracks/0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/audio-analysis/0KAiuUOrLTIkzkpfpn9jb9,195973,4
72,Olvidé Olvidarte,0.618,0.774,0,-5.207,1,0.0681,0.00211,0.0,0.0361,0.492,140.993,audio_features,6nys7RehgP4R0KzSVGm3CI,spotify:track:6nys7RehgP4R0KzSVGm3CI,https://api.spotify.com/v1/tracks/6nys7RehgP4R0KzSVGm3CI,https://api.spotify.com/v1/audio-analysis/6nys7RehgP4R0KzSVGm3CI,182295,4
73,No Drama,0.708,0.815,5,-4.164,0,0.0692,0.166,0.0,0.523,0.855,174.024,audio_features,5Jq958VQwRyQFujau4TMKD,spotify:track:5Jq958VQwRyQFujau4TMKD,https://api.spotify.com/v1/tracks/5Jq958VQwRyQFujau4TMKD,https://api.spotify.com/v1/audio-analysis/5Jq958VQwRyQFujau4TMKD,204828,4
74,Hey DJ,0.564,0.89,5,-4.286,1,0.107,0.0918,0.0,0.0819,0.636,180.112,audio_features,3cR5ZtQ4JqGj4VHBb1gvFf,spotify:track:3cR5ZtQ4JqGj4VHBb1gvFf,https://api.spotify.com/v1/tracks/3cR5ZtQ4JqGj4VHBb1gvFf,https://api.spotify.com/v1/audio-analysis/3cR5ZtQ4JqGj4VHBb1gvFf,189363,4
75,"Ankhiyon Se Goli Mare (From ""Pati Patni Aur Woh"")",0.818,0.972,2,-3.276,1,0.0802,0.318,3.72e-06,0.875,0.668,110.036,audio_features,16NMvEYAus3qS1czInNNZl,spotify:track:16NMvEYAus3qS1czInNNZl,https://api.spotify.com/v1/tracks/16NMvEYAus3qS1czInNNZl,https://api.spotify.com/v1/audio-analysis/16NMvEYAus3qS1czInNNZl,206913,4
76,Stick Season,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,audio_features,0mflMxspEfB0VbI1kyLiAv,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347,4
77,"Naatu Naatu (From ""Rrr"")",0.438,0.986,10,-3.384,0,0.14,0.35,0.000343,0.0773,0.736,159.894,audio_features,208sMwgVcaFt2mT79Df1KG,spotify:track:208sMwgVcaFt2mT79Df1KG,https://api.spotify.com/v1/tracks/208sMwgVcaFt2mT79Df1KG,https://api.spotify.com/v1/audio-analysis/208sMwgVcaFt2mT79Df1KG,214208,4
78,TQG,0.839,0.65,4,-3.38,0,0.212,0.666,0.0,0.126,0.7,90.015,audio_features,2oMjKuKUEJFuLiVmTq7Vjx,spotify:track:2oMjKuKUEJFuLiVmTq7Vjx,https://api.spotify.com/v1/tracks/2oMjKuKUEJFuLiVmTq7Vjx,https://api.spotify.com/v1/audio-analysis/2oMjKuKUEJFuLiVmTq7Vjx,198360,4
79,Physical,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,audio_features,3AzjcOeAmA57TIOr9zF1ZW,spotify:track:3AzjcOeAmA57TIOr9zF1ZW,https://api.spotify.com/v1/tracks/3AzjcOeAmA57TIOr9zF1ZW,https://api.spotify.com/v1/audio-analysis/3AzjcOeAmA57TIOr9zF1ZW,193829,4
80,Like Crazy (Instrumental),0.631,0.693,7,-7.276,1,0.0327,0.00018,0.826,0.137,0.684,120.001,audio_features,0cxhv3PpIkmREXqobuB0zG,spotify:track:0cxhv3PpIkmREXqobuB0zG,https://api.spotify.com/v1/tracks/0cxhv3PpIkmREXqobuB0zG,https://api.spotify.com/v1/audio-analysis/0cxhv3PpIkmREXqobuB0zG,212217,4
81,Thumbs,0.73,0.718,8,-3.496,1,0.0478,0.0284,0.0,0.0892,0.127,135.045,audio_features,6WC5fhc9XMaCrUNKNjm9xE,spotify:track:6WC5fhc9XMaCrUNKNjm9xE,https://api.spotify.com/v1/tracks/6WC5fhc9XMaCrUNKNjm9xE,https://api.spotify.com/v1/audio-analysis/6WC5fhc9XMaCrUNKNjm9xE,216467,4
82,Tukoh Taka - Official FIFA Fan Festival™ Anthem,0.963,0.905,7,-4.053,1,0.117,0.654,0.0481,0.107,0.594,123.998,audio_features,7twsd0lwXyy0ARdsTyzHoJ,spotify:track:7twsd0lwXyy0ARdsTyzHoJ,https://api.spotify.com/v1/tracks/7twsd0lwXyy0ARdsTyzHoJ,https://api.spotify.com/v1/audio-analysis/7twsd0lwXyy0ARdsTyzHoJ,178530,4
83,No More Drama,0.555,0.648,11,-6.539,0,0.296,0.693,0.000644,0.128,0.641,195.887,audio_features,2g3afkZqrBxT9RWNSPSWa7,spotify:track:2g3afkZqrBxT9RWNSPSWa7,https://api.spotify.com/v1/tracks/2g3afkZqrBxT9RWNSPSWa7,https://api.spotify.com/v1/audio-analysis/2g3afkZqrBxT9RWNSPSWa7,140041,4
