,ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
864,2018-05-16T22:14:24Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",207675,US,75.84.183.73,unknown,N.O,BTS,"O!RUL8,2?",spotify:track:1hehPTlSVIhHEvCkVoe4HX,,,,appload,trackdone,True,,False,1526487921678,False
865,2018-05-16T22:18:48Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",236488,US,75.84.183.73,unknown,Jump,BTS,Skool Luv Affair,spotify:track:22gGBmp8JqlymbXQvAUlYX,,,,trackdone,trackdone,True,,False,1526508864138,False
866,2018-05-16T22:24:27Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",261574,US,75.84.183.73,unknown,Tomorrow,BTS,Skool Luv Affair (Special Edition),spotify:track:2Y75ADhx7XespDNxQALACc,,,,trackdone,trackdone,True,,False,1526509189691,False
867,2018-05-17T00:28:30Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",27052,US,75.84.183.73,unknown,BTS Cypher Pt.1,BTS,"O!RUL8,2?",spotify:track:0do2tFk8lqFdNL2TYAlslN,,,,trackdone,fwdbtn,True,,False,1526509466434,False
868,2018-05-17T00:32:11Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",221592,US,75.84.183.73,unknown,No More Dream,BTS,2 Cool 4 Skool,spotify:track:4frlkLwlnm58ejpNwWjxyl,,,,fwdbtn,trackdone,True,,False,1526516909967,False
869,2018-05-17T00:32:54Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",19696,US,75.84.183.73,unknown,We On,BTS,"O!RUL8,2?",spotify:track:24WkSw7HQ8JIfcEefvJkcq,,,,trackdone,endplay,True,,False,1526517130622,False
870,2018-05-17T00:35:57Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",182079,US,75.84.183.73,unknown,개소리 (BULLSHIT),G-DRAGON,KWON JI YONG,spotify:track:4p7mS0e5GMsBIg1g61ikpw,,,,fwdbtn,trackdone,False,,False,1526517175228,False
871,2018-05-17T00:36:18Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",11307,US,75.84.183.73,unknown,New World,Krewella,New World,spotify:track:2gBQ35qqBE75t00kV221Xy,,,,trackdone,endplay,False,,False,1526517357034,False
872,2018-05-17T04:13:59Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",175705,US,75.84.183.73,unknown,Where U At,TAEYANG,Solar,spotify:track:1D7MAYUiTDxiG4FqhLj774,,,,clickrow,unexpected-exit-while-paused,False,,False,1526517377727,False
873,2018-05-17T04:14:25Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",18715,US,75.84.183.73,unknown,Where U At,TAEYANG,Solar,spotify:track:1D7MAYUiTDxiG4FqhLj774,,,,appload,endplay,False,,False,1526530442755,False
874,2018-05-17T13:22:06Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",158104,US,75.84.183.73,unknown,Okay Dokey,MINO,Show Me the Money 4 Episode 6,spotify:track:1R6qeTvAvaxB7hydIYVIY8,,,,fwdbtn,unexpected-exit-while-paused,True,,False,1526530466433,False
875,2018-05-17T13:22:18Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",1973,US,75.84.183.73,unknown,Change,RM,Change,spotify:track:1UBp6NPWRYWEqvRtFwIvZO,,,,fwdbtn,fwdbtn,True,,False,1526563335249,False
