,endTime,artistName,trackName,msPlayed
93,2023-10-26 22:00,KAI,Rover,6436
94,2023-10-26 22:04,Ayushmann Khurrana,Pani Da Rang Male,240786
95,2023-10-26 22:05,Ayushmann Khurrana,Pani Da Rang Male,55612
96,2023-10-26 22:05,Arijit Singh,"Chal Wahan Jaate Hain (From ""Chal Wahan Jaate Hain"")",9366
97,2023-10-26 22:10,Vishal-Shekhar,Khuda Jaane,333181
98,2023-10-26 22:18,Vishal-Shekhar,Khuda Jaane,333181
99,2023-10-26 22:24,Vishal-Shekhar,Khuda Jaane,316882
100,2023-10-27 01:18,Vishal-Shekhar,Khuda Jaane,16299
101,2023-10-27 01:24,Vishal-Shekhar,Khuda Jaane,333181
102,2023-10-27 01:27,Vishal-Shekhar,Khuda Jaane,94007
103,2023-10-27 01:34,DJ Snake,A Different Way - DEVAULT Remix,215706
104,2023-10-27 01:38,DJ Snake,A Different Way - DEVAULT Remix,215706
105,2023-10-27 01:42,DJ Snake,A Different Way - DEVAULT Remix,175787
106,2023-10-27 03:31,DJ Snake,A Different Way - DEVAULT Remix,7894
107,2023-10-27 03:36,Vishal-Shekhar,Khuda Jaane,333181
108,2023-10-27 03:41,Vishal-Shekhar,Khuda Jaane,127290
109,2023-10-27 03:44,MONSTA X,WHO DO U LOVE?,189035
110,2023-10-27 03:48,Ayushmann Khurrana,Pani Da Rang Male,240786
111,2023-10-27 03:51,KAI,Rover,174506
112,2023-10-27 03:56,Ricky Martin,Vente Pa' Ca (feat. Maluma),259195
113,2023-10-27 03:59,MONSTA X,WHO DO U LOVE?,138374
114,2023-10-27 03:59,RM,seoul (prod. HONNE),5877
115,2023-10-27 04:02,BTS,Lights,360
116,2023-10-27 04:02,Culture Wars,Lose Money,186790
117,2023-10-27 04:02,BTS,Converse High,442
118,2023-10-27 04:02,BTS,Heartbeat (BTS World Original Soundtrack),1250
119,2023-10-27 04:02,Regard,Ride It,14761
120,2023-10-27 05:16,Boys World,Gone Girl,5524
121,2023-10-27 05:16,Boys World,Gone Girl,152852
122,2023-10-27 05:19,MONSTA X,WHO DO U LOVE?,189035
123,2023-10-27 05:19,MONSTA X,WHO DO U LOVE?,15864
124,2023-10-27 05:22,KAI,Rover,174506
125,2023-10-27 05:34,KAI,Rover,69079
126,2023-10-27 14:25,KAI,Rover,8059
127,2023-10-27 14:31,Ricky Martin,Vente Pa' Ca (feat. Maluma),256278
128,2023-10-27 14:40,BTS,Best Of Me,223837
129,2023-10-27 14:44,Ninja Sex Party,Cool Patrol,197360
130,2023-10-27 14:48,Ninja Sex Party,Everybody Wants to Rule the World,250071
131,2023-10-27 14:51,Ninja Sex Party,Down Under,191741
132,2023-10-27 14:51,Ninja Sex Party,Sledgehammer,5973
133,2023-10-27 14:54,MONSTA X,WHO DO U LOVE?,189035
134,2023-10-27 14:58,MONSTA X,WHO DO U LOVE?,189035
135,2023-10-27 14:58,MONSTA X,WHO DO U LOVE?,9942
136,2023-10-27 14:58,MONSTA X,Love Killa,9962
137,2023-10-27 15:01,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),204763
